scheduler [INFO] 2024-12-18 11:30:08,139 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:30:08,139 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:30:09,301 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:30:09,301 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:30:18,156 Deleting UserLikes older than 2024-12-11 11:30:18.156468
user_like [INFO] 2024-12-18 11:30:19,306 Deleting UserLikes older than 2024-12-11 11:30:19.306420
scheduler [INFO] 2024-12-18 11:30:57,895 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:30:57,896 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:30:59,001 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:30:59,001 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:31:07,913 Deleting UserLikes older than 2024-12-11 11:31:07.913458
user_like [INFO] 2024-12-18 11:31:09,019 Deleting UserLikes older than 2024-12-11 11:31:09.019450
scheduler [INFO] 2024-12-18 11:32:10,589 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:32:10,589 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:32:11,818 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:32:11,819 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:32:20,606 Deleting UserLikes older than 2024-12-11 11:32:20.606683
user_like [INFO] 2024-12-18 11:32:21,836 Deleting UserLikes older than 2024-12-11 11:32:21.836907
scheduler [INFO] 2024-12-18 11:40:51,046 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:40:51,047 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:40:53,748 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:40:53,748 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:41:01,061 Deleting UserLikes older than 2024-12-11 11:41:01.061328
user_like [INFO] 2024-12-18 11:41:03,755 Deleting UserLikes older than 2024-12-11 11:41:03.755091
scheduler [INFO] 2024-12-18 11:41:24,653 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:41:24,653 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:41:27,059 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:41:27,060 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:41:34,673 Deleting UserLikes older than 2024-12-11 11:41:34.673067
user_like [INFO] 2024-12-18 11:41:37,071 Deleting UserLikes older than 2024-12-11 11:41:37.071864
scheduler [INFO] 2024-12-18 11:43:11,072 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:11,073 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:43:12,508 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:12,508 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:43:21,081 Deleting UserLikes older than 2024-12-11 11:43:21.081588
scheduler [INFO] 2024-12-18 11:43:21,663 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:21,663 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:43:22,527 Deleting UserLikes older than 2024-12-11 11:43:22.527285
scheduler [INFO] 2024-12-18 11:43:30,886 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:30,887 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:43:32,204 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:32,205 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:43:40,899 Deleting UserLikes older than 2024-12-11 11:43:40.898988
scheduler [INFO] 2024-12-18 11:43:41,249 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:41,249 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:43:42,211 Deleting UserLikes older than 2024-12-11 11:43:42.211453
scheduler [INFO] 2024-12-18 11:43:48,416 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:48,417 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:43:49,749 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:43:49,749 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:43:58,432 Deleting UserLikes older than 2024-12-11 11:43:58.431993
user_like [INFO] 2024-12-18 11:43:59,764 Deleting UserLikes older than 2024-12-11 11:43:59.764825
scheduler [INFO] 2024-12-18 11:53:37,033 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:53:37,033 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:53:38,685 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:53:38,686 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:53:47,040 Deleting UserLikes older than 2024-12-11 11:53:47.040720
user_like [INFO] 2024-12-18 11:53:48,700 Deleting UserLikes older than 2024-12-11 11:53:48.700120
scheduler [INFO] 2024-12-18 11:55:26,165 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:55:26,165 Starting job - name : Clean Old Likes
scheduler [INFO] 2024-12-18 11:55:27,671 Starting scheduled jobs
user_like [INFO] 2024-12-18 11:55:27,671 Starting job - name : Clean Old Likes
user_like [INFO] 2024-12-18 11:55:36,183 Deleting UserLikes older than 2024-12-11 11:55:36.183766
